subject,id,condition,word,step,trial,pass,phase,SAnswer,rt,sex,hearing,lang,equip
SubjectBase001,1010subject146baseline,baseline,asee_shstep11.wav,step11,43,7,Late,1,1158,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep11.wav,step11,45,8,Late,1,1156,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep11.wav,step11,59,9,Late,1,1177,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep11.wav,step11,68,10,Late,1,1133,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep13.wav,step13,0,1,Early,0,6662,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep13.wav,step13,2,2,Early,0,1717,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep13.wav,step13,33,3,Early,1,1264,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep13.wav,step13,44,4,Early,0,1095,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep13.wav,step13,49,5,Early,0,1888,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep13.wav,step13,51,6,Late,1,2784,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep13.wav,step13,54,7,Late,0,1119,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep13.wav,step13,61,8,Late,0,1028,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep13.wav,step13,63,9,Late,0,960,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep13.wav,step13,66,10,Late,0,1811,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep15.wav,step15,10,1,Early,0,1450,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep15.wav,step15,18,2,Early,0,1434,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep15.wav,step15,21,3,Early,0,1505,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep15.wav,step15,29,4,Early,0,1177,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep15.wav,step15,47,5,Early,0,838,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep15.wav,step15,48,6,Late,0,853,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep15.wav,step15,53,7,Late,0,1397,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep15.wav,step15,58,8,Late,0,1047,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep15.wav,step15,64,9,Late,1,1061,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep15.wav,step15,67,10,Late,0,1113,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep17.wav,step17,4,1,Early,0,1326,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep17.wav,step17,8,2,Early,0,1296,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep17.wav,step17,11,3,Early,0,1273,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep17.wav,step17,12,4,Early,0,1162,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep17.wav,step17,23,5,Early,0,1264,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep17.wav,step17,24,6,Late,0,1200,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep17.wav,step17,38,7,Late,0,1166,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep17.wav,step17,46,8,Late,0,1005,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep17.wav,step17,60,9,Late,0,1000,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase001,1010subject146baseline,baseline,asee_shstep17.wav,step17,69,10,Late,0,1465,Female,yes,english,Over-the-ear headphones (cost $30 or less)
SubjectBase002,1010subject208baseline,baseline,asee_shstep5.wav,step05,0,1,Early,0,1843,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep5.wav,step05,1,2,Early,1,1433,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep5.wav,step05,6,3,Early,1,1056,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep5.wav,step05,8,4,Early,1,1006,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep5.wav,step05,43,5,Early,1,1176,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep5.wav,step05,48,6,Late,1,856,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep5.wav,step05,49,7,Late,1,1017,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep5.wav,step05,53,8,Late,1,896,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep5.wav,step05,58,9,Late,1,818,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep5.wav,step05,62,10,Late,1,806,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep7.wav,step07,20,1,Early,1,1277,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep7.wav,step07,21,2,Early,1,1034,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep7.wav,step07,29,3,Early,1,1075,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep7.wav,step07,31,4,Early,1,944,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep7.wav,step07,33,5,Early,1,1289,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep7.wav,step07,42,6,Late,1,1323,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep7.wav,step07,45,7,Late,1,927,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep7.wav,step07,52,8,Late,1,861,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep7.wav,step07,55,9,Late,1,840,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep7.wav,step07,64,10,Late,1,1889,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep9.wav,step09,4,1,Early,0,905,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep9.wav,step09,10,2,Early,1,1130,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep9.wav,step09,12,3,Early,0,886,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep9.wav,step09,25,4,Early,0,1479,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep9.wav,step09,46,5,Early,0,2834,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep9.wav,step09,50,6,Late,0,1985,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep9.wav,step09,51,7,Late,1,1230,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep9.wav,step09,54,8,Late,0,776,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep9.wav,step09,63,9,Late,0,832,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep9.wav,step09,69,10,Late,1,1013,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep11.wav,step11,13,1,Early,0,1219,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep11.wav,step11,22,2,Early,1,1146,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep11.wav,step11,23,3,Early,1,1064,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep11.wav,step11,28,4,Early,1,1131,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep11.wav,step11,32,5,Early,0,1096,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep11.wav,step11,41,6,Late,1,876,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep11.wav,step11,56,7,Late,0,1510,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep11.wav,step11,59,8,Late,0,1159,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep11.wav,step11,61,9,Late,0,785,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep11.wav,step11,66,10,Late,0,1739,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep13.wav,step13,2,1,Early,0,1050,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep13.wav,step13,5,2,Early,0,841,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep13.wav,step13,11,3,Early,0,975,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep13.wav,step13,14,4,Early,0,854,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep13.wav,step13,15,5,Early,0,819,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep13.wav,step13,18,6,Late,0,1097,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep13.wav,step13,24,7,Late,0,1042,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep13.wav,step13,34,8,Late,0,983,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep13.wav,step13,37,9,Late,1,1040,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep13.wav,step13,60,10,Late,0,851,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep15.wav,step15,7,1,Early,0,920,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep15.wav,step15,16,2,Early,0,792,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep15.wav,step15,19,3,Early,0,995,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep15.wav,step15,26,4,Early,1,921,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep15.wav,step15,27,5,Early,0,1851,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep15.wav,step15,30,6,Late,0,919,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep15.wav,step15,38,7,Late,0,856,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep15.wav,step15,39,8,Late,0,918,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep15.wav,step15,65,9,Late,0,811,Male,yes,english,Over-the-ear headphones (cost more than $100)
SubjectBase002,1010subject208baseline,baseline,asee_shstep15.wav,step15,67,10,Late,0,820,Male,yes,english,Over-the-ear headphones (cost more than $100)
