"","subject","condition","audio","step","sAnswer","rt","stepRepetition","trial","phase"
"149","AAM03","AAM","asee_shstep07",7,0,649,2,6,"Early"
"150","AAM03","AAM","asee_shstep09",9,0,515,2,4,"Early"
"151","AAM03","AAM","asee_shstep11",11,0,443,2,3,"Early"
"152","AAM03","AAM","asee_shstep13",13,0,520,2,2,"Early"
"153","AAM03","AAM","asee_shstep15",15,0,572,2,0,"Early"
"154","AAM03","AAM","asee_shstep17",17,0,575,2,5,"Early"
"155","AAM03","AAM","asee_shstep05",5,1,977,3,5,"Early"
"156","AAM03","AAM","asee_shstep07",7,1,818,3,0,"Early"
"157","AAM03","AAM","asee_shstep09",9,1,920,3,2,"Early"
"158","AAM03","AAM","asee_shstep11",11,0,698,3,1,"Early"
"159","AAM03","AAM","asee_shstep13",13,0,532,3,3,"Early"
"160","AAM03","AAM","asee_shstep15",15,0,582,3,4,"Early"
"161","AAM03","AAM","asee_shstep17",17,0,580,3,6,"Early"
"162","AAM03","AAM","asee_shstep05",5,1,744,4,0,"Early"
"163","AAM03","AAM","asee_shstep07",7,1,858,4,6,"Early"
"164","AAM03","AAM","asee_shstep09",9,1,784,4,2,"Early"
"165","AAM03","AAM","asee_shstep11",11,1,697,4,5,"Early"
"166","AAM03","AAM","asee_shstep13",13,0,443,4,4,"Early"
"167","AAM03","AAM","asee_shstep15",15,0,525,4,1,"Early"
"168","AAM03","AAM","asee_shstep17",17,0,507,4,3,"Early"
"169","AAM03","AAM","asee_shstep05",5,1,630,5,2,"Early"
"170","AAM03","AAM","asee_shstep07",7,1,711,5,4,"Early"
"171","AAM03","AAM","asee_shstep09",9,1,944,5,3,"Early"
"172","AAM03","AAM","asee_shstep11",11,0,619,5,1,"Early"
"173","AAM03","AAM","asee_shstep13",13,1,1026,5,0,"Early"
"174","AAM03","AAM","asee_shstep15",15,1,305,5,5,"Early"
"175","AAM03","AAM","asee_shstep17",17,0,523,5,6,"Early"
"176","AAM03","AAM","asee_shstep05",5,1,681,6,2,"Late"
"177","AAM03","AAM","asee_shstep07",7,1,714,6,0,"Late"
"178","AAM03","AAM","asee_shstep09",9,1,730,6,4,"Late"
"179","AAM03","AAM","asee_shstep11",11,0,913,6,5,"Late"
"180","AAM03","AAM","asee_shstep13",13,0,687,6,6,"Late"
"181","AAM03","AAM","asee_shstep15",15,0,634,6,3,"Late"
"182","AAM03","AAM","asee_shstep17",17,0,614,6,1,"Late"
"183","AAM03","AAM","asee_shstep05",5,1,612,7,1,"Late"
