"","subject","id","condition","word","trial","nounAnswer","rt","grammarType","wordType","sex","hearing","lang","equip"
"883","Subject009","1011subject367","aam","brain",84,1,1372,"noun","filler","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"884","Subject009","1011subject367","aam","basementstep11",85,1,1449,"noun","critical","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"885","Subject009","1011subject367","aam","orbital",86,0,1777,"notnoun","filler","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"886","Subject009","1011subject367","aam","become",87,0,1611,"notnoun","filler","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"887","Subject009","1011subject367","aam","dragon",88,1,1012,"noun","filler","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"888","Subject009","1011subject367","aam","submarinestep10",89,1,1473,"noun","critical","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"889","Subject009","1011subject367","aam","warrantee",9,1,1315,"noun","filler","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"890","Subject009","1011subject367","aam","relate",90,0,1270,"notnoun","filler","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"891","Subject009","1011subject367","aam","family",91,1,1590,"noun","filler","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"892","Subject009","1011subject367","aam","sidewalkstep8",92,1,1789,"noun","critical","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"893","Subject009","1011subject367","aam","weekly",93,0,1726,"notnoun","filler","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"894","Subject009","1011subject367","aam","saltystep14",94,0,1843,"notnoun","critical","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"895","Subject009","1011subject367","aam","lawyer",95,1,1263,"noun","filler","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"896","Subject009","1011subject367","aam","appear",96,0,1453,"notnoun","filler","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"897","Subject009","1011subject367","aam","degree",97,1,1875,"noun","filler","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"898","Subject009","1011subject367","aam","similarstep10",98,0,1306,"notnoun","critical","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"899","Subject009","1011subject367","aam","acerbicstep12",99,0,2139,"notnoun","critical","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"900","Subject009","1011subject367","aam","occupy",0,0,2041,"notnoun","filler","Female","yes","biling","In-ear headphones/earbuds (cost more than $100)"
"1201","Subject013","1011subject998","aam","orbital",1,1,1185,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1202","Subject013","1011subject998","aam","silverstep10",10,1,1286,"noun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1203","Subject013","1011subject998","aam","grammatical",11,1,902,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1204","Subject013","1011subject998","aam","manually",12,0,1362,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1205","Subject013","1011subject998","aam","family",13,1,2493,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1206","Subject013","1011subject998","aam","yell",14,0,3049,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1207","Subject013","1011subject998","aam","enroll",15,0,1195,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1208","Subject013","1011subject998","aam","appear",16,0,1020,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1209","Subject013","1011subject998","aam","document",17,1,1838,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1210","Subject013","1011subject998","aam","energy",18,1,1074,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1211","Subject013","1011subject998","aam","avenue",19,1,1571,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1212","Subject013","1011subject998","aam","marina",2,1,943,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1213","Subject013","1011subject998","aam","vibrant",20,1,1251,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1214","Subject013","1011subject998","aam","remedial",21,1,1494,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1215","Subject013","1011subject998","aam","pineapple",22,1,949,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1216","Subject013","1011subject998","aam","acerbicstep12",23,1,2428,"notnoun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1217","Subject013","1011subject998","aam","eternal",24,1,1121,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1218","Subject013","1011subject998","aam","evolve",25,0,984,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1219","Subject013","1011subject998","aam","hidden",26,1,1460,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1220","Subject013","1011subject998","aam","ballerina",27,1,1212,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1221","Subject013","1011subject998","aam","garden",28,1,1447,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1222","Subject013","1011subject998","aam","america",29,1,900,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1223","Subject013","1011subject998","aam","totally",3,1,871,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1224","Subject013","1011subject998","aam","sufferstep8",30,0,1469,"notnoun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1225","Subject013","1011subject998","aam","unique",31,1,1184,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1226","Subject013","1011subject998","aam","kidnap",32,0,1017,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1227","Subject013","1011subject998","aam","tutorial",33,1,1089,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1228","Subject013","1011subject998","aam","surrenderstep8",34,0,1491,"notnoun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1229","Subject013","1011subject998","aam","casserolestep12",35,1,1465,"noun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1230","Subject013","1011subject998","aam","sidewalkstep8",36,1,2009,"noun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1231","Subject013","1011subject998","aam","wrinkle",37,1,1388,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1232","Subject013","1011subject998","aam","umbrella",38,1,1069,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1233","Subject013","1011subject998","aam","immune",39,1,944,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1234","Subject013","1011subject998","aam","degree",4,1,846,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1235","Subject013","1011subject998","aam","gullible",40,1,922,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1236","Subject013","1011subject998","aam","ciderstep9",41,1,1967,"noun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1237","Subject013","1011subject998","aam","hamburger",42,1,930,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1238","Subject013","1011subject998","aam","omelet",43,1,980,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1239","Subject013","1011subject998","aam","sabrestep10",44,1,1244,"noun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1240","Subject013","1011subject998","aam","develop",45,0,1056,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1241","Subject013","1011subject998","aam","human",46,1,1061,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1242","Subject013","1011subject998","aam","depend",47,1,1008,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1243","Subject013","1011subject998","aam","camera",48,1,1942,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1244","Subject013","1011subject998","aam","secondstep11",49,1,1789,"noun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1245","Subject013","1011subject998","aam","submarinestep10",5,1,1509,"noun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1246","Subject013","1011subject998","aam","warrantee",50,1,1185,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1247","Subject013","1011subject998","aam","around",51,1,1320,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1248","Subject013","1011subject998","aam","relate",52,0,1457,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1250","Subject013","1011subject998","aam","secludedstep10",54,1,1864,"notnoun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1251","Subject013","1011subject998","aam","remind",55,1,1062,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1252","Subject013","1011subject998","aam","lawyer",56,1,913,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1253","Subject013","1011subject998","aam","sandalstep11",57,1,1316,"noun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1254","Subject013","1011subject998","aam","ignore",58,0,1427,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1255","Subject013","1011subject998","aam","weekly",59,1,1725,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1256","Subject013","1011subject998","aam","mineral",6,1,886,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1257","Subject013","1011subject998","aam","typical",60,1,963,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1258","Subject013","1011subject998","aam","embody",61,0,1186,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1259","Subject013","1011subject998","aam","parrot",62,1,2271,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1260","Subject013","1011subject998","aam","failure",63,1,1187,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1261","Subject013","1011subject998","aam","annoying",64,1,1858,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1262","Subject013","1011subject998","aam","momentary",65,1,3144,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1263","Subject013","1011subject998","aam","engine",66,1,1035,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1264","Subject013","1011subject998","aam","bakery",67,1,869,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1265","Subject013","1011subject998","aam","saltystep14",68,1,1239,"notnoun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1266","Subject013","1011subject998","aam","yoghurt",69,1,980,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1267","Subject013","1011subject998","aam","parable",7,1,955,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1268","Subject013","1011subject998","aam","harmful",70,1,1248,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1269","Subject013","1011subject998","aam","occupy",71,1,902,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1270","Subject013","1011subject998","aam","freeze",72,0,1635,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1271","Subject013","1011subject998","aam","tobacco",73,1,1619,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1272","Subject013","1011subject998","aam","felony",74,1,1037,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1273","Subject013","1011subject998","aam","become",75,1,1707,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1274","Subject013","1011subject998","aam","recovery",76,1,2448,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1275","Subject013","1011subject998","aam","ironic",77,1,1052,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1276","Subject013","1011subject998","aam","solidstep12",78,1,1613,"notnoun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1277","Subject013","1011subject998","aam","fumble",79,0,2011,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1278","Subject013","1011subject998","aam","animal",8,1,856,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1279","Subject013","1011subject998","aam","beauty",80,1,1981,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1280","Subject013","1011subject998","aam","brain",81,1,1065,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1281","Subject013","1011subject998","aam","opaque",82,1,1067,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1282","Subject013","1011subject998","aam","image",83,1,836,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1283","Subject013","1011subject998","aam","grapple",84,0,890,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1284","Subject013","1011subject998","aam","honeymoon",85,1,962,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1285","Subject013","1011subject998","aam","global",86,1,873,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1286","Subject013","1011subject998","aam","anemia",87,1,1302,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1287","Subject013","1011subject998","aam","similarstep10",88,1,1307,"notnoun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1288","Subject013","1011subject998","aam","alone",89,1,1146,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1289","Subject013","1011subject998","aam","dragon",9,1,821,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1290","Subject013","1011subject998","aam","overcome",90,0,1009,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1291","Subject013","1011subject998","aam","royalty",91,1,1389,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1292","Subject013","1011subject998","aam","seaweedstep12",92,1,1227,"noun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1293","Subject013","1011subject998","aam","basementstep11",93,1,1060,"noun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1294","Subject013","1011subject998","aam","guilty",94,1,868,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1295","Subject013","1011subject998","aam","immoral",95,1,1162,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1296","Subject013","1011subject998","aam","military",96,1,1091,"noun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1297","Subject013","1011subject998","aam","regular",97,1,1162,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1298","Subject013","1011subject998","aam","superpowerstep12",98,1,1620,"noun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1299","Subject013","1011subject998","aam","gasolinestep11",99,1,964,"noun","critical","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1300","Subject013","1011subject998","aam","romantic",0,1,955,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost $30 or less)"
"1401","Subject015","1012subject342","aam","tobacco",1,1,1305,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1402","Subject015","1012subject342","aam","silverstep10",10,1,1259,"noun","critical","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1403","Subject015","1012subject342","aam","animal",11,1,1378,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1404","Subject015","1012subject342","aam","solidstep12",12,1,1617,"notnoun","critical","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1405","Subject015","1012subject342","aam","totally",13,0,1425,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1406","Subject015","1012subject342","aam","anemia",14,1,1266,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1407","Subject015","1012subject342","aam","ignore",15,0,1669,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1408","Subject015","1012subject342","aam","warrantee",16,1,1287,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1409","Subject015","1012subject342","aam","romantic",17,0,1598,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1410","Subject015","1012subject342","aam","seaweedstep12",18,1,1805,"noun","critical","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1411","Subject015","1012subject342","aam","ballerina",19,1,1144,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1412","Subject015","1012subject342","aam","overcome",2,0,1935,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1413","Subject015","1012subject342","aam","kidnap",20,0,1066,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1414","Subject015","1012subject342","aam","grammatical",21,0,1157,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1415","Subject015","1012subject342","aam","parable",22,1,1703,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1416","Subject015","1012subject342","aam","surrenderstep8",23,0,1614,"notnoun","critical","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1417","Subject015","1012subject342","aam","umbrella",24,1,1600,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1418","Subject015","1012subject342","aam","opaque",25,0,1664,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1419","Subject015","1012subject342","aam","relate",26,0,1180,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1420","Subject015","1012subject342","aam","wrinkle",27,1,1753,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1421","Subject015","1012subject342","aam","image",28,1,1288,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1422","Subject015","1012subject342","aam","become",29,0,1221,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1423","Subject015","1012subject342","aam","basementstep11",3,1,1263,"noun","critical","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1424","Subject015","1012subject342","aam","america",30,1,1151,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1425","Subject015","1012subject342","aam","beauty",31,0,1232,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1426","Subject015","1012subject342","aam","unique",32,0,2531,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1427","Subject015","1012subject342","aam","harmful",33,0,2132,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1428","Subject015","1012subject342","aam","sandalstep11",34,1,1819,"noun","critical","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1429","Subject015","1012subject342","aam","momentary",35,0,1381,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1430","Subject015","1012subject342","aam","bakery",36,1,1275,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1431","Subject015","1012subject342","aam","alone",37,0,1210,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1432","Subject015","1012subject342","aam","family",38,1,2038,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1433","Subject015","1012subject342","aam","brain",39,1,1277,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1434","Subject015","1012subject342","aam","felony",4,1,1290,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1435","Subject015","1012subject342","aam","military",40,1,1788,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1436","Subject015","1012subject342","aam","manually",41,0,1505,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1437","Subject015","1012subject342","aam","occupy",42,0,1828,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1438","Subject015","1012subject342","aam","failure",43,1,1641,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1439","Subject015","1012subject342","aam","embody",44,0,1580,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1440","Subject015","1012subject342","aam","vibrant",45,0,1661,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1441","Subject015","1012subject342","aam","orbital",46,0,1793,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1442","Subject015","1012subject342","aam","immune",47,0,1340,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1443","Subject015","1012subject342","aam","yell",48,0,1400,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1444","Subject015","1012subject342","aam","lawyer",49,1,1297,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1445","Subject015","1012subject342","aam","submarinestep10",5,1,1423,"noun","critical","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1446","Subject015","1012subject342","aam","remedial",50,1,2464,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1447","Subject015","1012subject342","aam","hamburger",51,1,1557,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1448","Subject015","1012subject342","aam","avenue",52,1,1421,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1449","Subject015","1012subject342","aam","remind",53,0,1370,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1450","Subject015","1012subject342","aam","gullible",54,0,1434,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1451","Subject015","1012subject342","aam","hidden",55,0,1236,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1452","Subject015","1012subject342","aam","omelet",56,1,1240,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1453","Subject015","1012subject342","aam","eternal",57,0,1365,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1454","Subject015","1012subject342","aam","similarstep10",58,0,1340,"notnoun","critical","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1455","Subject015","1012subject342","aam","appear",59,0,1640,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1456","Subject015","1012subject342","aam","engine",6,1,1102,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1457","Subject015","1012subject342","aam","fumble",60,1,1450,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1458","Subject015","1012subject342","aam","yoghurt",61,1,2386,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1459","Subject015","1012subject342","aam","gasolinestep11",62,1,1516,"noun","critical","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1460","Subject015","1012subject342","aam","garden",63,1,1162,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1461","Subject015","1012subject342","aam","recovery",64,1,2054,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1462","Subject015","1012subject342","aam","annoying",65,0,2556,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1463","Subject015","1012subject342","aam","secondstep11",66,0,2367,"noun","critical","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1464","Subject015","1012subject342","aam","global",67,1,1871,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1465","Subject015","1012subject342","aam","superpowerstep12",68,1,1655,"noun","critical","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1466","Subject015","1012subject342","aam","parrot",69,1,1351,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1467","Subject015","1012subject342","aam","casserolestep12",7,1,1407,"noun","critical","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1468","Subject015","1012subject342","aam","mineral",70,1,1265,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1469","Subject015","1012subject342","aam","ironic",71,0,1452,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1470","Subject015","1012subject342","aam","around",72,0,1344,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1471","Subject015","1012subject342","aam","secludedstep10",73,0,1253,"notnoun","critical","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1472","Subject015","1012subject342","aam","tutorial",74,0,1286,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1473","Subject015","1012subject342","aam","honeymoon",75,1,1878,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1474","Subject015","1012subject342","aam","evolve",76,0,1943,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1475","Subject015","1012subject342","aam","grapple",77,0,1399,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1476","Subject015","1012subject342","aam","royalty",78,1,1742,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1477","Subject015","1012subject342","aam","develop",79,0,1417,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1478","Subject015","1012subject342","aam","degree",8,1,1204,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1479","Subject015","1012subject342","aam","human",80,1,1282,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1480","Subject015","1012subject342","aam","saltystep14",81,0,1356,"notnoun","critical","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1481","Subject015","1012subject342","aam","energy",82,1,1640,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1482","Subject015","1012subject342","aam","regular",83,0,1396,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1483","Subject015","1012subject342","aam","guilty",84,0,2101,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1484","Subject015","1012subject342","aam","typical",85,0,1537,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1485","Subject015","1012subject342","aam","sufferstep8",86,0,1295,"notnoun","critical","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1486","Subject015","1012subject342","aam","document",87,0,1481,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1487","Subject015","1012subject342","aam","sidewalkstep8",88,1,1633,"noun","critical","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1488","Subject015","1012subject342","aam","depend",89,0,1210,"notnoun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1489","Subject015","1012subject342","aam","pineapple",9,1,1165,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
"1490","Subject015","1012subject342","aam","dragon",90,1,2442,"noun","filler","Male","yes","english","Over-the-ear headphones (cost between $30 and $100)"
