,subject,id,condition,word,step,trial,pass,phase,SAnswer,rt,sex,hearing,lang,equip
40,Subject001,1010subject156,bam,asee_shstep9.wav,9,62,9,Late,1,966,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
41,Subject001,1010subject156,bam,asee_shstep9.wav,9,63,10,Late,1,1189,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
42,Subject001,1010subject156,bam,asee_shstep11.wav,11,0,1,Early,1,4028,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
43,Subject001,1010subject156,bam,asee_shstep11.wav,11,8,2,Early,0,2138,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
44,Subject001,1010subject156,bam,asee_shstep11.wav,11,9,3,Early,0,1280,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
45,Subject001,1010subject156,bam,asee_shstep11.wav,11,14,4,Early,0,1647,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
46,Subject001,1010subject156,bam,asee_shstep11.wav,11,31,5,Early,1,1852,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
47,Subject001,1010subject156,bam,asee_shstep11.wav,11,36,6,Late,1,1597,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
48,Subject001,1010subject156,bam,asee_shstep11.wav,11,47,7,Late,0,903,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
49,Subject001,1010subject156,bam,asee_shstep11.wav,11,50,8,Late,0,1187,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
50,Subject001,1010subject156,bam,asee_shstep11.wav,11,53,9,Late,0,1189,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
51,Subject001,1010subject156,bam,asee_shstep11.wav,11,64,10,Late,0,1002,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
52,Subject001,1010subject156,bam,asee_shstep13.wav,13,11,1,Early,0,1640,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
53,Subject001,1010subject156,bam,asee_shstep13.wav,13,12,2,Early,0,2021,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
54,Subject001,1010subject156,bam,asee_shstep13.wav,13,13,3,Early,0,1541,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
55,Subject001,1010subject156,bam,asee_shstep13.wav,13,16,4,Early,0,1005,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
56,Subject001,1010subject156,bam,asee_shstep13.wav,13,27,5,Early,1,1182,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
57,Subject001,1010subject156,bam,asee_shstep13.wav,13,32,6,Late,0,1306,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
58,Subject001,1010subject156,bam,asee_shstep13.wav,13,41,7,Late,1,1112,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
59,Subject001,1010subject156,bam,asee_shstep17.wav,17,3,1,Early,0,2151,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
60,Subject001,1010subject156,bam,asee_shstep17.wav,17,10,2,Early,0,2208,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
61,Subject001,1010subject156,bam,asee_shstep17.wav,17,15,3,Early,0,1321,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
62,Subject001,1010subject156,bam,asee_shstep17.wav,17,33,4,Early,0,1204,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
63,Subject001,1010subject156,bam,asee_shstep17.wav,17,35,5,Early,1,2306,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
64,Subject001,1010subject156,bam,asee_shstep17.wav,17,39,6,Late,0,1034,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
65,Subject001,1010subject156,bam,asee_shstep17.wav,17,51,7,Late,0,1078,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
66,Subject001,1010subject156,bam,asee_shstep17.wav,17,56,8,Late,0,1037,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
67,Subject001,1010subject156,bam,asee_shstep17.wav,17,59,9,Late,0,915,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
68,Subject001,1010subject156,bam,asee_shstep17.wav,17,61,10,Late,0,850,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
69,Subject001,1010subject156,bam,asee_shstep15.wav,15,48,9,Late,0,951,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
70,Subject001,1010subject156,bam,asee_shstep15.wav,15,52,10,Late,0,816,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
71,Subject002,1010subject452,aam,asee_shstep9.wav,9,63,9,Late,1,897,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
72,Subject002,1010subject452,aam,asee_shstep7.wav,7,60,9,Late,1,721,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
73,Subject002,1010subject452,aam,asee_shstep7.wav,7,64,10,Late,1,627,Female,yes,english,In-ear headphones/earbuds (cost $30 or less)
