subject,condition,audio,step,sAnswer,rt,stepRepetition,trial
AAM02,AAM,asee_shstep13,13,0,739,5,6
AAM02,AAM,asee_shstep15,15,0,488,5,2
AAM02,AAM,asee_shstep17,17,0,546,5,1
AAM02,AAM,asee_shstep05,5,1,685,6,1
AAM02,AAM,asee_shstep07,7,1,683,6,0
AAM02,AAM,asee_shstep09,9,1,736,6,4
AAM02,AAM,asee_shstep11,11,0,759,6,3
AAM02,AAM,asee_shstep13,13,0,648,6,6
AAM02,AAM,asee_shstep15,15,0,664,6,2
AAM02,AAM,asee_shstep17,17,0,799,6,5
AAM02,AAM,asee_shstep05,5,1,1086,7,2
AAM02,AAM,asee_shstep07,7,1,631,7,3
AAM02,AAM,asee_shstep09,9,1,924,7,0
AAM02,AAM,asee_shstep11,11,1,1014,7,6
AAM02,AAM,asee_shstep13,13,0,692,7,5
AAM02,AAM,asee_shstep15,15,0,664,7,4
AAM02,AAM,asee_shstep17,17,0,551,7,1
AAM02,AAM,asee_shstep05,5,1,1430,8,1
AAM02,AAM,asee_shstep07,7,1,853,8,4
AAM02,AAM,asee_shstep09,9,0,1724,8,2
AAM02,AAM,asee_shstep11,11,0,792,8,3
AAM02,AAM,asee_shstep13,13,0,700,8,0
AAM02,AAM,asee_shstep15,15,0,655,8,5
AAM02,AAM,asee_shstep17,17,0,743,8,6
AAM02,AAM,asee_shstep05,5,1,842,9,5
AAM02,AAM,asee_shstep07,7,1,1663,9,4
AAM02,AAM,asee_shstep09,9,1,537,9,2
AAM02,AAM,asee_shstep11,11,0,658,9,1
AAM02,AAM,asee_shstep13,13,0,532,9,0
AAM02,AAM,asee_shstep15,15,0,633,9,6
AAM02,AAM,asee_shstep17,17,0,680,9,3
AAM02,AAM,asee_shstep05,5,1,799,10,5
AAM02,AAM,asee_shstep07,7,1,1017,10,4
AAM02,AAM,asee_shstep09,9,1,719,10,2
AAM02,AAM,asee_shstep11,11,0,650,10,1
AAM02,AAM,asee_shstep13,13,0,593,10,6
AAM02,AAM,asee_shstep15,15,0,619,10,3
AAM02,AAM,asee_shstep17,17,0,579,10,0
AAM03,AAM,asee_shstep05,5,1,986,1,4
AAM03,AAM,asee_shstep07,7,0,1484,1,1
AAM03,AAM,asee_shstep09,9,0,674,1,6
AAM03,AAM,asee_shstep11,11,0,615,1,0
AAM03,AAM,asee_shstep13,13,0,1095,1,5
AAM03,AAM,asee_shstep15,15,0,742,1,3
AAM03,AAM,asee_shstep17,17,0,1007,1,2
AAM03,AAM,asee_shstep05,5,1,758,2,1
AAM03,AAM,asee_shstep07,7,0,649,2,6
AAM03,AAM,asee_shstep09,9,0,515,2,4
AAM03,AAM,asee_shstep11,11,0,443,2,3
AAM03,AAM,asee_shstep13,13,0,520,2,2
AAM03,AAM,asee_shstep15,15,0,572,2,0
AAM03,AAM,asee_shstep17,17,0,575,2,5
AAM03,AAM,asee_shstep05,5,1,977,3,5
AAM03,AAM,asee_shstep07,7,1,818,3,0
AAM03,AAM,asee_shstep09,9,1,920,3,2
AAM03,AAM,asee_shstep11,11,0,698,3,1
AAM03,AAM,asee_shstep13,13,0,532,3,3
AAM03,AAM,asee_shstep15,15,0,582,3,4
AAM03,AAM,asee_shstep17,17,0,580,3,6
AAM03,AAM,asee_shstep05,5,1,744,4,0
AAM03,AAM,asee_shstep07,7,1,858,4,6
AAM03,AAM,asee_shstep09,9,1,784,4,2
AAM03,AAM,asee_shstep11,11,1,697,4,5
AAM03,AAM,asee_shstep13,13,0,443,4,4
AAM03,AAM,asee_shstep15,15,0,525,4,1
AAM03,AAM,asee_shstep17,17,0,507,4,3
AAM03,AAM,asee_shstep05,5,1,630,5,2
AAM03,AAM,asee_shstep07,7,1,711,5,4
AAM03,AAM,asee_shstep09,9,1,944,5,3
AAM03,AAM,asee_shstep11,11,0,619,5,1
AAM03,AAM,asee_shstep13,13,1,1026,5,0
AAM03,AAM,asee_shstep15,15,1,305,5,5
AAM03,AAM,asee_shstep17,17,0,523,5,6
AAM03,AAM,asee_shstep05,5,1,681,6,2
AAM03,AAM,asee_shstep07,7,1,714,6,0
AAM03,AAM,asee_shstep09,9,1,730,6,4
AAM03,AAM,asee_shstep11,11,0,913,6,5
AAM03,AAM,asee_shstep13,13,0,687,6,6
AAM03,AAM,asee_shstep15,15,0,634,6,3
AAM03,AAM,asee_shstep17,17,0,614,6,1
AAM03,AAM,asee_shstep05,5,1,612,7,1
AAM03,AAM,asee_shstep07,7,1,581,7,3
AAM03,AAM,asee_shstep09,9,1,694,7,5
AAM03,AAM,asee_shstep11,11,0,648,7,6
AAM03,AAM,asee_shstep13,13,0,690,7,2
AAM03,AAM,asee_shstep15,15,0,587,7,0
AAM03,AAM,asee_shstep17,17,0,622,7,4
AAM03,AAM,asee_shstep05,5,1,649,8,5
AAM03,AAM,asee_shstep07,7,1,708,8,1
AAM03,AAM,asee_shstep09,9,1,1099,8,6
AAM03,AAM,asee_shstep11,11,0,745,8,3
AAM03,AAM,asee_shstep13,13,0,626,8,2
AAM03,AAM,asee_shstep15,15,0,462,8,4
AAM03,AAM,asee_shstep17,17,0,741,8,0
AAM03,AAM,asee_shstep05,5,1,629,9,3
AAM03,AAM,asee_shstep07,7,1,605,9,2
AAM03,AAM,asee_shstep09,9,1,1158,9,1
AAM03,AAM,asee_shstep11,11,0,669,9,6
AAM03,AAM,asee_shstep13,13,0,611,9,4
AAM03,AAM,asee_shstep15,15,0,644,9,0
AAM03,AAM,asee_shstep17,17,0,760,9,5
AAM03,AAM,asee_shstep05,5,1,669,10,3
AAM03,AAM,asee_shstep07,7,1,627,10,5
AAM03,AAM,asee_shstep09,9,1,734,10,1
AAM03,AAM,asee_shstep11,11,0,537,10,6
AAM03,AAM,asee_shstep13,13,0,406,10,4
AAM03,AAM,asee_shstep15,15,0,472,10,0
AAM03,AAM,asee_shstep17,17,0,517,10,2
AAM04,AAM,asee_shstep05,5,1,845,1,4
AAM04,AAM,asee_shstep07,7,1,1200,1,1
AAM04,AAM,asee_shstep09,9,1,847,1,6
AAM04,AAM,asee_shstep11,11,0,816,1,0
AAM04,AAM,asee_shstep13,13,0,1551,1,5
AAM04,AAM,asee_shstep15,15,0,674,1,3
AAM04,AAM,asee_shstep17,17,0,1093,1,2
AAM04,AAM,asee_shstep05,5,1,879,2,1
AAM04,AAM,asee_shstep07,7,1,861,2,6
AAM04,AAM,asee_shstep09,9,1,1252,2,4
AAM04,AAM,asee_shstep11,11,0,1025,2,3
AAM04,AAM,asee_shstep13,13,0,726,2,2
AAM04,AAM,asee_shstep15,15,0,745,2,0
AAM04,AAM,asee_shstep17,17,0,872,2,5
AAM04,AAM,asee_shstep05,5,1,761,3,5
AAM04,AAM,asee_shstep07,7,1,852,3,0
AAM04,AAM,asee_shstep09,9,1,909,3,2
AAM04,AAM,asee_shstep11,11,1,981,3,1
AAM04,AAM,asee_shstep13,13,0,502,3,3
