subject,condition,word,wordType,grammarType,trial,nounAnswer,nounAnswer2,rt
Subject002,aam,opaque,filler,notnoun,2,0,notnoun,2233
Subject002,aam,become,filler,notnoun,20,0,notnoun,1681
Subject002,aam,similarstep10,critical,notnoun,21,0,notnoun,1840
Subject002,aam,solidstep12,critical,notnoun,22,0,notnoun,1371
Subject002,aam,totally,filler,notnoun,23,0,notnoun,1254
Subject002,aam,america,filler,noun,24,1,noun,1386
Subject002,aam,marina,filler,noun,25,1,noun,1282
Subject002,aam,grammatical,filler,notnoun,26,0,notnoun,987
Subject002,aam,unique,filler,notnoun,27,0,notnoun,917
Subject002,aam,tobacco,filler,noun,28,1,noun,1417
Subject002,aam,immoral,filler,notnoun,29,0,notnoun,1122
Subject002,aam,avenue,filler,noun,3,0,notnoun,3392
Subject002,aam,hidden,filler,notnoun,30,0,notnoun,1121
Subject002,aam,momentary,filler,notnoun,31,0,notnoun,1174
Subject002,aam,basementstep11,critical,noun,32,1,noun,1328
Subject002,aam,ignore,filler,notnoun,33,0,notnoun,1176
Subject002,aam,beauty,filler,noun,34,0,notnoun,1008
Subject002,aam,sufferstep8,critical,notnoun,35,0,notnoun,966
Subject002,aam,annoying,filler,notnoun,36,0,notnoun,993
Subject002,aam,evolve,filler,notnoun,37,0,notnoun,1319
Subject002,aam,vibrant,filler,notnoun,38,0,notnoun,1146
Subject002,aam,manually,filler,notnoun,39,0,notnoun,1611
Subject002,aam,brain,filler,noun,4,1,noun,1192
Subject002,aam,ciderstep9,critical,noun,40,1,noun,1336
Subject002,aam,dragon,filler,noun,41,1,noun,1054
Subject002,aam,kidnap,filler,notnoun,42,0,notnoun,1634
Subject002,aam,superpowerstep12,critical,noun,43,0,notnoun,1129
Subject002,aam,enroll,filler,notnoun,44,0,notnoun,946
Subject002,aam,secondstep11,critical,noun,45,0,notnoun,1139
Subject002,aam,freeze,filler,notnoun,46,0,notnoun,1325
Subject002,aam,alone,filler,notnoun,47,0,notnoun,1190
Subject002,aam,silverstep10,critical,noun,48,1,noun,1518
Subject002,aam,global,filler,notnoun,49,1,noun,1306
Subject002,aam,secludedstep10,critical,notnoun,5,0,notnoun,1418
Subject002,aam,orbital,filler,notnoun,50,1,noun,2264
Subject002,aam,saltystep14,critical,notnoun,51,0,notnoun,1489
Subject002,aam,military,filler,noun,52,0,notnoun,3722
Subject002,aam,romantic,filler,notnoun,53,0,notnoun,1241
Subject002,aam,weekly,filler,notnoun,54,0,notnoun,1262
Subject002,aam,guilty,filler,notnoun,55,0,notnoun,816
Subject002,aam,occupy,filler,notnoun,56,0,notnoun,967
Subject002,aam,lawyer,filler,noun,57,1,noun,1050
Subject002,aam,camera,filler,noun,58,1,noun,2034
Subject002,aam,acerbicstep12,critical,notnoun,59,0,notnoun,1554
Subject002,aam,immune,filler,notnoun,6,0,notnoun,1706
Subject002,aam,regular,filler,notnoun,60,0,notnoun,1159
Subject002,aam,engine,filler,noun,61,0,notnoun,936
Subject002,aam,felony,filler,noun,62,0,notnoun,1030
Subject002,aam,royalty,filler,noun,63,0,notnoun,1227
Subject002,aam,remedial,filler,notnoun,64,0,notnoun,1142
Subject002,aam,human,filler,noun,65,1,noun,1915
Subject002,aam,yoghurt,filler,noun,66,1,noun,2578
Subject002,aam,energy,filler,noun,67,0,notnoun,1233
Subject002,aam,casserolestep12,critical,noun,68,1,noun,1166
Subject002,aam,gullible,filler,notnoun,69,0,notnoun,953
Subject002,aam,parable,filler,noun,7,0,notnoun,2478
Subject002,aam,family,filler,noun,70,1,noun,1192
Subject002,aam,parrot,filler,noun,71,1,noun,1081
Subject002,aam,grapple,filler,notnoun,72,0,notnoun,1217
Subject002,aam,bakery,filler,noun,73,1,noun,972
Subject002,aam,tutorial,filler,noun,74,0,notnoun,1159
Subject002,aam,develop,filler,notnoun,75,0,notnoun,1049
Subject002,aam,mineral,filler,noun,76,1,noun,1446
Subject002,aam,recovery,filler,noun,77,0,notnoun,1049
Subject002,aam,gasolinestep11,critical,noun,78,1,noun,1606
Subject002,aam,remind,filler,notnoun,79,0,notnoun,1163
Subject002,aam,anemia,filler,noun,8,0,notnoun,1274
Subject002,aam,surrenderstep8,critical,notnoun,80,0,notnoun,1177
Subject002,aam,sidewalkstep8,critical,noun,81,1,noun,1393
Subject002,aam,around,filler,notnoun,82,0,notnoun,1233
Subject002,aam,ironic,filler,notnoun,83,0,notnoun,937
Subject002,aam,severalstep9,critical,notnoun,84,0,notnoun,1182
Subject002,aam,typical,filler,notnoun,85,0,notnoun,920
Subject002,aam,failure,filler,noun,86,0,notnoun,939
Subject002,aam,warrantee,filler,noun,87,0,notnoun,1080
Subject002,aam,relate,filler,notnoun,88,0,notnoun,1113
Subject002,aam,umbrella,filler,noun,89,1,noun,1318
Subject002,aam,garden,filler,noun,9,1,noun,1469
Subject002,aam,ballerina,filler,noun,90,1,noun,930
Subject002,aam,appear,filler,notnoun,91,0,notnoun,830
Subject002,aam,eternal,filler,notnoun,92,0,notnoun,1087
Subject002,aam,seaweedstep12,critical,noun,93,1,noun,1735
Subject002,aam,sandalstep11,critical,noun,94,0,notnoun,1383
Subject002,aam,animal,filler,noun,95,0,notnoun,2038
Subject002,aam,honeymoon,filler,noun,96,0,notnoun,1062
Subject002,aam,submarinestep10,critical,noun,97,1,noun,1239
Subject002,aam,image,filler,noun,98,0,notnoun,1263
Subject002,aam,overcome,filler,notnoun,99,0,notnoun,1104
Subject002,aam,hamburger,filler,noun,0,1,noun,1443
Subject003,bam,embassystep11,critical,noun,1,1,noun,1780
Subject003,bam,hallucinatestep8,critical,notnoun,10,0,notnoun,1560
Subject003,bam,umbrella,filler,noun,11,1,noun,1487
Subject003,bam,beauty,filler,noun,12,0,notnoun,1227
Subject003,bam,engine,filler,noun,13,1,noun,1363
Subject003,bam,royal,filler,notnoun,14,1,noun,1221
Subject003,bam,immoral,filler,notnoun,15,0,notnoun,1430
Subject003,bam,hidden,filler,notnoun,16,0,notnoun,1184
Subject003,bam,remedial,filler,notnoun,17,0,notnoun,2434
Subject003,bam,manually,filler,notnoun,18,0,notnoun,1493
Subject003,bam,occupy,filler,notnoun,19,0,notnoun,1657
Subject003,bam,develop,filler,notnoun,2,0,notnoun,2638
Subject003,bam,parable,filler,noun,20,0,notnoun,1258
Subject003,bam,energy,filler,noun,21,1,noun,2329
Subject003,bam,anemia,filler,noun,22,1,noun,2864
Subject003,bam,remind,filler,notnoun,23,0,notnoun,1427
Subject003,bam,ironic,filler,notnoun,24,0,notnoun,1144
Subject003,bam,hamburger,filler,noun,25,1,noun,1274
Subject003,bam,vibrant,filler,notnoun,26,0,notnoun,2382
Subject003,bam,utensilstep10,critical,noun,27,1,noun,1697
Subject003,bam,embody,filler,notnoun,28,0,notnoun,1646
Subject003,bam,dragon,filler,noun,29,1,noun,1227
Subject003,bam,enroll,filler,notnoun,3,0,notnoun,1962
Subject003,bam,grammatical,filler,notnoun,30,0,notnoun,1228
Subject003,bam,pregnancystep8,critical,noun,31,0,notnoun,1907
Subject003,bam,global,filler,notnoun,32,1,noun,1399
Subject003,bam,animal,filler,noun,33,1,noun,1369
Subject003,bam,harmful,filler,notnoun,34,0,notnoun,1345
Subject003,bam,dinosaurstep8,critical,noun,35,1,noun,1353
Subject003,bam,document,filler,noun,36,1,noun,1533
Subject003,bam,overcome,filler,notnoun,37,0,notnoun,1290
Subject003,bam,tobacco,filler,noun,38,1,noun,1775
Subject003,bam,eraserstep8,critical,noun,39,1,noun,1266
Subject003,bam,gullible,filler,notnoun,4,0,notnoun,2960
Subject003,bam,addressstep12,critical,noun,40,1,noun,4183
Subject003,bam,human,filler,noun,41,1,noun,1045
Subject003,bam,mineral,filler,noun,42,1,noun,1148
Subject003,bam,malpracticestep10,critical,noun,43,0,notnoun,1673
Subject003,bam,yoghurt,filler,noun,44,1,noun,1219
Subject003,bam,freeze,filler,notnoun,45,0,notnoun,1535
Subject003,bam,annoying,filler,notnoun,46,0,notnoun,1297
Subject003,bam,immune,filler,notnoun,47,0,notnoun,1695
Subject003,bam,momentary,filler,notnoun,48,0,notnoun,1218
Subject003,bam,image,filler,noun,49,1,noun,1172
Subject003,bam,marina,filler,noun,5,1,noun,1406
Subject003,bam,become,filler,notnoun,50,0,notnoun,1199
Subject003,bam,tutorial,filler,noun,51,0,notnoun,1531
Subject003,bam,bakery,filler,noun,52,1,noun,1125
Subject003,bam,coliseumstep9,critical,noun,53,1,noun,1717
Subject003,bam,guilty,filler,notnoun,54,0,notnoun,1117
Subject003,bam,eternal,filler,notnoun,55,0,notnoun,1324
Subject003,bam,garden,filler,noun,56,1,noun,1175
Subject003,bam,weekly,filler,notnoun,57,0,notnoun,1491
Subject003,bam,announcementstep8,critical,noun,58,0,notnoun,3277
Subject003,bam,kidnap,filler,notnoun,59,0,notnoun,1576
Subject003,bam,evolve,filler,notnoun,6,0,notnoun,1384
Subject003,bam,camera,filler,noun,60,1,noun,1129
Subject003,bam,embracestep9,critical,notnoun,61,0,notnoun,1471
Subject003,bam,romantic,filler,notnoun,62,0,notnoun,1599
Subject003,bam,peninsulastep11,critical,noun,63,1,noun,1392
Subject003,bam,military,filler,noun,64,1,noun,1542
Subject003,bam,totally,filler,notnoun,65,0,notnoun,1142
Subject003,bam,omelet,filler,noun,66,1,noun,1424
Subject003,bam,wrinkle,filler,noun,67,1,noun,1798
Subject003,bam,homogeneousstep11,critical,notnoun,68,0,notnoun,1236
Subject003,bam,arthritisstep8,critical,noun,69,1,noun,1640
Subject003,bam,appear,filler,notnoun,7,0,notnoun,1400
Subject003,bam,brain,filler,noun,70,1,noun,1275
Subject003,bam,recover,filler,notnoun,71,0,notnoun,1243
Subject003,bam,around,filler,notnoun,72,0,notnoun,1319
Subject003,bam,nervousstep13,critical,notnoun,73,0,notnoun,1254
Subject003,bam,depend,filler,notnoun,74,0,notnoun,1191
Subject003,bam,typical,filler,notnoun,75,0,notnoun,924
Subject003,bam,orbital,filler,notnoun,76,0,notnoun,1082
Subject003,bam,avenue,filler,noun,77,1,noun,1533
Subject003,bam,failure,filler,noun,78,0,notnoun,1359
Subject003,bam,alone,filler,notnoun,79,0,notnoun,1059
Subject003,bam,ballerina,filler,noun,8,1,noun,1333
Subject003,bam,relate,filler,notnoun,80,0,notnoun,1105
Subject003,bam,honeymoon,filler,noun,81,0,notnoun,1676
Subject003,bam,degree,filler,noun,82,1,noun,1809
Subject003,bam,regular,filler,notnoun,83,0,notnoun,1180
Subject003,bam,fumble,filler,notnoun,84,0,notnoun,1174
Subject003,bam,embarassingstep9,critical,notnoun,85,0,notnoun,1152
Subject003,bam,pineapple,filler,noun,86,1,noun,1419
Subject003,bam,warrantee,filler,noun,87,0,notnoun,1502
Subject003,bam,tennesseestep11,critical,noun,88,1,noun,1418
Subject003,bam,ignore,filler,notnoun,89,0,notnoun,1763
Subject003,bam,parrot,filler,noun,9,1,noun,1723
Subject003,bam,unique,filler,notnoun,90,0,notnoun,1202
Subject003,bam,felony,filler,noun,91,0,notnoun,2709
Subject003,bam,yell,filler,notnoun,92,1,noun,1322
Subject003,bam,lawyer,filler,noun,93,1,noun,1350
Subject003,bam,opaque,filler,notnoun,94,0,notnoun,1761
Subject003,bam,miraculousstep10,critical,notnoun,95,0,notnoun,1193
Subject003,bam,family,filler,noun,96,1,noun,2465
Subject003,bam,rehearsalstep8,critical,noun,97,0,notnoun,1481
Subject003,bam,arkansasstep10,critical,noun,98,1,noun,1116
Subject003,bam,america,filler,noun,99,1,noun,1132
Subject004,aam,sidewalkstep8,critical,noun,1,1,noun,1934
Subject004,aam,around,filler,notnoun,11,0,notnoun,3090
Subject004,aam,kidnap,filler,notnoun,12,0,notnoun,2146
Subject004,aam,manually,filler,notnoun,13,0,notnoun,3140
Subject004,aam,ciderstep9,critical,noun,14,1,noun,1972
Subject004,aam,enroll,filler,notnoun,15,0,notnoun,3757
Subject004,aam,ironic,filler,notnoun,16,0,notnoun,2520
Subject004,aam,vibrant,filler,notnoun,17,0,notnoun,2069
Subject004,aam,sabrestep10,critical,noun,18,0,notnoun,3488
Subject004,aam,fumble,filler,notnoun,19,0,notnoun,2919
Subject004,aam,mineral,filler,noun,2,1,noun,1413
Subject004,aam,casserolestep12,critical,noun,20,1,noun,1451
Subject004,aam,yoghurt,filler,noun,21,1,noun,1365
Subject004,aam,degree,filler,noun,22,1,noun,1314
Subject004,aam,seaweedstep12,critical,noun,23,1,noun,1693
Subject004,aam,superpowerstep12,critical,noun,24,1,noun,1934
Subject004,aam,military,filler,noun,25,1,noun,1445
Subject004,aam,family,filler,noun,26,1,noun,1396
Subject004,aam,brain,filler,noun,27,1,noun,1264
Subject004,aam,america,filler,noun,28,1,noun,1334
Subject004,aam,royalty,filler,noun,29,1,noun,1432
Subject004,aam,omelet,filler,noun,30,1,noun,1480
Subject004,aam,sandalstep11,critical,noun,31,1,noun,2137
Subject004,aam,annoying,filler,notnoun,32,0,notnoun,2075
Subject004,aam,ballerina,filler,noun,33,1,noun,1445
Subject004,aam,beauty,filler,noun,34,0,notnoun,2343
Subject004,aam,tobacco,filler,noun,35,1,noun,1686
Subject004,aam,totally,filler,notnoun,36,0,notnoun,1701
Subject004,aam,freeze,filler,notnoun,37,0,notnoun,2250
Subject004,aam,severalstep9,critical,notnoun,38,0,notnoun,1590
Subject004,aam,gullible,filler,notnoun,39,0,notnoun,1466
Subject004,aam,grapple,filler,notnoun,4,0,notnoun,2930
Subject004,aam,secondstep11,critical,noun,40,0,notnoun,1734
