subject,condition,word,step,sAnswer,rt,trial,pass,phase
Subject002,aam,asee_shstep13.wav,13,0,801,15,5,Early
Subject002,aam,asee_shstep13.wav,13,0,711,16,6,Late
Subject002,aam,asee_shstep13.wav,13,1,672,20,7,Late
Subject002,aam,asee_shstep13.wav,13,0,761,39,8,Late
Subject002,aam,asee_shstep13.wav,13,0,782,44,9,Late
Subject002,aam,asee_shstep13.wav,13,1,696,56,10,Late
Subject002,aam,asee_shstep15.wav,15,0,762,4,1,Early
Subject002,aam,asee_shstep15.wav,15,0,790,8,2,Early
Subject002,aam,asee_shstep15.wav,15,0,818,18,3,Early
Subject002,aam,asee_shstep15.wav,15,0,865,29,4,Early
Subject002,aam,asee_shstep15.wav,15,0,816,31,5,Early
Subject002,aam,asee_shstep15.wav,15,0,1561,42,6,Late
Subject002,aam,asee_shstep15.wav,15,0,706,50,7,Late
Subject002,aam,asee_shstep15.wav,15,0,1663,53,8,Late
Subject002,aam,asee_shstep15.wav,15,0,689,57,9,Late
Subject002,aam,asee_shstep15.wav,15,0,632,66,10,Late
Subject002,aam,asee_shstep17.wav,17,0,761,1,1,Early
Subject002,aam,asee_shstep17.wav,17,0,703,11,2,Early
Subject002,aam,asee_shstep17.wav,17,0,682,14,3,Early
Subject002,aam,asee_shstep17.wav,17,0,667,23,4,Early
Subject002,aam,asee_shstep17.wav,17,0,617,24,5,Early
Subject002,aam,asee_shstep17.wav,17,0,713,28,6,Late
Subject002,aam,asee_shstep17.wav,17,0,715,40,7,Late
Subject002,aam,asee_shstep17.wav,17,0,601,51,8,Late
Subject002,aam,asee_shstep17.wav,17,0,832,54,9,Late
Subject002,aam,asee_shstep9.wav,9,1,561,65,10,Late
Subject002,aam,asee_shstep11.wav,11,0,1697,7,1,Early
Subject002,aam,asee_shstep11.wav,11,0,504,25,2,Early
Subject002,aam,asee_shstep11.wav,11,1,760,41,3,Early
Subject002,aam,asee_shstep11.wav,11,1,1003,47,4,Early
Subject002,aam,asee_shstep11.wav,11,1,830,52,5,Early
Subject002,aam,asee_shstep11.wav,11,1,763,55,6,Late
Subject002,aam,asee_shstep11.wav,11,1,778,59,7,Late
Subject002,aam,asee_shstep11.wav,11,0,559,67,8,Late
Subject002,aam,asee_shstep11.wav,11,0,480,68,9,Late
Subject002,aam,asee_shstep11.wav,11,1,546,69,10,Late
Subject002,aam,asee_shstep13.wav,13,0,703,2,1,Early
Subject002,aam,asee_shstep5.wav,5,1,776,9,1,Early
Subject002,aam,asee_shstep5.wav,5,1,758,10,2,Early
Subject002,aam,asee_shstep5.wav,5,1,698,26,3,Early
Subject002,aam,asee_shstep5.wav,5,1,697,27,4,Early
Subject002,aam,asee_shstep5.wav,5,1,1089,34,5,Early
Subject002,aam,asee_shstep5.wav,5,1,713,35,6,Late
Subject002,aam,asee_shstep5.wav,5,1,616,37,7,Late
Subject002,aam,asee_shstep5.wav,5,1,894,48,8,Late
Subject002,aam,asee_shstep5.wav,5,1,818,49,9,Late
Subject002,aam,asee_shstep5.wav,5,1,641,61,10,Late
Subject002,aam,asee_shstep7.wav,7,1,1487,0,1,Early
Subject002,aam,asee_shstep7.wav,7,1,688,6,2,Early
Subject002,aam,asee_shstep7.wav,7,1,762,12,3,Early
Subject002,aam,asee_shstep7.wav,7,1,786,19,4,Early
Subject002,aam,asee_shstep7.wav,7,1,738,21,5,Early
Subject002,aam,asee_shstep7.wav,7,1,674,22,6,Late
Subject002,aam,asee_shstep7.wav,7,1,823,36,7,Late
Subject002,aam,asee_shstep7.wav,7,1,906,45,8,Late
Subject002,aam,asee_shstep17.wav,17,0,730,58,10,Late
Subject003,bam,asee_shstep17.wav,17,0,962,65,10,Late
Subject003,bam,asee_shstep9.wav,9,0,822,69,10,Late
Subject003,bam,asee_shstep11.wav,11,1,943,15,1,Early
Subject003,bam,asee_shstep11.wav,11,1,1071,22,3,Early
Subject003,bam,asee_shstep11.wav,11,0,943,32,4,Early
Subject003,bam,asee_shstep11.wav,11,0,807,33,5,Early
Subject003,bam,asee_shstep11.wav,11,0,905,19,2,Early
Subject003,bam,asee_shstep11.wav,11,0,776,36,7,Late
Subject003,bam,asee_shstep11.wav,11,0,691,40,8,Late
Subject003,bam,asee_shstep11.wav,11,0,948,58,9,Late
Subject003,bam,asee_shstep11.wav,11,0,925,35,6,Late
Subject003,bam,asee_shstep5.wav,5,1,1689,1,1,Early
Subject003,bam,asee_shstep5.wav,5,1,1252,9,2,Early
Subject003,bam,asee_shstep5.wav,5,1,893,16,3,Early
Subject003,bam,asee_shstep5.wav,5,1,1017,20,4,Early
Subject003,bam,asee_shstep5.wav,5,1,655,26,5,Early
Subject003,bam,asee_shstep5.wav,5,1,810,27,6,Late
Subject003,bam,asee_shstep5.wav,5,1,851,46,7,Late
Subject003,bam,asee_shstep5.wav,5,1,808,47,8,Late
Subject003,bam,asee_shstep5.wav,5,1,850,50,9,Late
Subject003,bam,asee_shstep5.wav,5,1,1102,57,10,Late
Subject003,bam,asee_shstep7.wav,7,1,2915,0,1,Early
Subject003,bam,asee_shstep7.wav,7,0,1323,5,2,Early
Subject003,bam,asee_shstep7.wav,7,1,1602,7,3,Early
Subject003,bam,asee_shstep7.wav,7,1,1184,12,4,Early
Subject003,bam,asee_shstep7.wav,7,1,896,21,5,Early
Subject003,bam,asee_shstep7.wav,7,0,784,24,6,Late
Subject003,bam,asee_shstep7.wav,7,1,854,28,7,Late
Subject003,bam,asee_shstep7.wav,7,1,827,56,8,Late
Subject003,bam,asee_shstep7.wav,7,1,943,59,9,Late
Subject003,bam,asee_shstep7.wav,7,1,1168,61,10,Late
Subject003,bam,asee_shstep9.wav,9,0,1248,14,1,Early
Subject003,bam,asee_shstep9.wav,9,0,918,23,2,Early
Subject003,bam,asee_shstep9.wav,9,1,636,25,3,Early
Subject003,bam,asee_shstep9.wav,9,1,1164,37,4,Early
Subject003,bam,asee_shstep9.wav,9,0,859,43,5,Early
Subject003,bam,asee_shstep9.wav,9,0,803,45,6,Late
Subject003,bam,asee_shstep9.wav,9,1,1332,48,7,Late
Subject003,bam,asee_shstep9.wav,9,1,1026,54,8,Late
Subject003,bam,asee_shstep9.wav,9,1,946,62,9,Late
Subject003,bam,asee_shstep13.wav,13,0,1204,6,3,Early
Subject003,bam,asee_shstep13.wav,13,0,1107,11,4,Early
Subject003,bam,asee_shstep13.wav,13,0,1672,29,5,Early
Subject003,bam,asee_shstep13.wav,13,0,1032,30,6,Late
Subject003,bam,asee_shstep13.wav,13,0,815,31,7,Late
Subject003,bam,asee_shstep13.wav,13,0,893,42,8,Late
Subject003,bam,asee_shstep13.wav,13,0,922,49,9,Late
Subject003,bam,asee_shstep13.wav,13,0,973,55,10,Late
Subject003,bam,asee_shstep15.wav,15,0,1393,8,1,Early
Subject003,bam,asee_shstep15.wav,15,0,878,13,2,Early
Subject003,bam,asee_shstep11.wav,11,1,976,67,10,Late
Subject003,bam,asee_shstep13.wav,13,0,1529,2,1,Early
Subject003,bam,asee_shstep13.wav,13,0,1136,4,2,Early
Subject003,bam,asee_shstep15.wav,15,0,983,60,6,Late
Subject003,bam,asee_shstep15.wav,15,0,1007,63,7,Late
Subject003,bam,asee_shstep15.wav,15,1,923,64,8,Late
Subject003,bam,asee_shstep15.wav,15,1,1198,66,9,Late
Subject003,bam,asee_shstep15.wav,15,0,1054,68,10,Late
Subject003,bam,asee_shstep17.wav,17,0,1065,3,1,Early
Subject003,bam,asee_shstep17.wav,17,0,1777,10,2,Early
Subject003,bam,asee_shstep17.wav,17,0,1045,17,3,Early
Subject003,bam,asee_shstep17.wav,17,0,954,34,4,Early
Subject003,bam,asee_shstep17.wav,17,0,925,38,5,Early
Subject003,bam,asee_shstep15.wav,15,0,1076,18,3,Early
Subject003,bam,asee_shstep15.wav,15,0,907,39,4,Early
Subject003,bam,asee_shstep15.wav,15,0,940,52,5,Early
Subject003,bam,asee_shstep17.wav,17,0,877,53,9,Late
Subject003,bam,asee_shstep17.wav,17,0,688,41,6,Late
Subject003,bam,asee_shstep17.wav,17,0,934,44,7,Late
Subject003,bam,asee_shstep17.wav,17,0,833,51,8,Late
Subject004,aam,asee_shstep5.wav,5,1,1203,11,2,Early
Subject004,aam,asee_shstep5.wav,5,1,1164,36,6,Late
Subject004,aam,asee_shstep5.wav,5,1,1155,12,3,Early
Subject004,aam,asee_shstep5.wav,5,1,1137,15,4,Early
Subject004,aam,asee_shstep5.wav,5,1,1187,29,5,Early
Subject004,aam,asee_shstep5.wav,5,1,1138,60,10,Late
Subject004,aam,asee_shstep5.wav,5,1,1044,37,7,Late
Subject004,aam,asee_shstep5.wav,5,1,1789,39,8,Late
Subject004,aam,asee_shstep5.wav,5,1,1216,43,9,Late
Subject004,aam,asee_shstep5.wav,5,1,2664,0,1,Early
Subject004,aam,asee_shstep13.wav,13,0,1173,17,1,Early
Subject004,aam,asee_shstep13.wav,13,1,2314,20,2,Early
Subject004,aam,asee_shstep13.wav,13,0,1231,23,3,Early
Subject004,aam,asee_shstep13.wav,13,0,1430,28,4,Early
Subject004,aam,asee_shstep13.wav,13,0,2391,33,5,Early
Subject004,aam,asee_shstep13.wav,13,0,1225,54,6,Late
Subject004,aam,asee_shstep13.wav,13,0,1301,56,7,Late
Subject004,aam,asee_shstep13.wav,13,0,1063,59,8,Late
Subject004,aam,asee_shstep13.wav,13,0,1187,64,9,Late
Subject004,aam,asee_shstep13.wav,13,0,1176,67,10,Late
Subject004,aam,asee_shstep7.wav,7,1,1369,5,1,Early
Subject004,aam,asee_shstep7.wav,7,1,1119,25,2,Early
Subject004,aam,asee_shstep7.wav,7,1,1196,26,3,Early
Subject004,aam,asee_shstep7.wav,7,1,1284,27,4,Early
Subject004,aam,asee_shstep7.wav,7,1,1611,32,5,Early
Subject004,aam,asee_shstep7.wav,7,1,1118,40,6,Late
Subject004,aam,asee_shstep7.wav,7,1,1176,42,7,Late
Subject004,aam,asee_shstep7.wav,7,1,1210,52,8,Late
Subject004,aam,asee_shstep7.wav,7,1,1172,62,9,Late
Subject004,aam,asee_shstep7.wav,7,1,1472,63,10,Late
Subject004,aam,asee_shstep9.wav,9,1,1495,6,1,Early
Subject004,aam,asee_shstep9.wav,9,1,2598,7,2,Early
Subject004,aam,asee_shstep9.wav,9,0,1601,18,3,Early
Subject004,aam,asee_shstep9.wav,9,1,1113,21,4,Early
Subject004,aam,asee_shstep9.wav,9,0,1335,24,5,Early
Subject004,aam,asee_shstep9.wav,9,1,1268,30,6,Late
Subject004,aam,asee_shstep9.wav,9,1,4610,35,7,Late
Subject004,aam,asee_shstep9.wav,9,1,1196,48,8,Late
Subject004,aam,asee_shstep9.wav,9,0,1343,49,9,Late
Subject004,aam,asee_shstep9.wav,9,1,1068,57,10,Late
Subject004,aam,asee_shstep11.wav,11,1,3150,1,1,Early
Subject004,aam,asee_shstep11.wav,11,0,1509,2,2,Early
Subject004,aam,asee_shstep11.wav,11,0,1069,9,3,Early
Subject004,aam,asee_shstep11.wav,11,0,1311,10,4,Early
Subject004,aam,asee_shstep11.wav,11,0,1315,50,6,Late
Subject004,aam,asee_shstep11.wav,11,1,1314,53,7,Late
Subject004,aam,asee_shstep11.wav,11,1,1469,61,8,Late
Subject004,aam,asee_shstep11.wav,11,0,1583,65,9,Late
Subject004,aam,asee_shstep11.wav,11,1,1203,69,10,Late
Subject004,aam,asee_shstep17.wav,17,0,1110,22,3,Early
Subject004,aam,asee_shstep15.wav,15,0,1242,3,1,Early
Subject004,aam,asee_shstep15.wav,15,0,1208,4,2,Early
Subject004,aam,asee_shstep15.wav,15,0,1227,8,3,Early
Subject004,aam,asee_shstep15.wav,15,0,1223,13,4,Early
Subject004,aam,asee_shstep15.wav,15,0,1036,34,5,Early
Subject004,aam,asee_shstep15.wav,15,0,1338,38,6,Late
Subject004,aam,asee_shstep15.wav,15,0,1136,44,7,Late
Subject004,aam,asee_shstep15.wav,15,0,1061,45,8,Late
Subject004,aam,asee_shstep15.wav,15,0,1310,51,9,Late
Subject004,aam,asee_shstep15.wav,15,0,1066,55,10,Late
