subject,condition,word,step,sAnswer,rt,trial,pass,phase
AAM03,aam,asee_shstep13,13,0,443,4,4,Early
AAM03,aam,asee_shstep15,15,0,525,1,4,Early
AAM03,aam,asee_shstep17,17,0,507,3,4,Early
AAM03,aam,asee_shstep05,5,1,630,2,5,Early
AAM03,aam,asee_shstep07,7,1,711,4,5,Early
AAM03,aam,asee_shstep09,9,1,944,3,5,Early
AAM03,aam,asee_shstep11,11,0,619,1,5,Early
AAM03,aam,asee_shstep13,13,1,1026,0,5,Early
AAM03,aam,asee_shstep15,15,1,305,5,5,Early
AAM03,aam,asee_shstep17,17,0,523,6,5,Early
AAM03,aam,asee_shstep05,5,1,681,2,6,Late
AAM03,aam,asee_shstep07,7,1,714,0,6,Late
AAM03,aam,asee_shstep09,9,1,730,4,6,Late
AAM03,aam,asee_shstep11,11,0,913,5,6,Late
AAM03,aam,asee_shstep13,13,0,687,6,6,Late
AAM03,aam,asee_shstep15,15,0,634,3,6,Late
AAM03,aam,asee_shstep17,17,0,614,1,6,Late
AAM03,aam,asee_shstep05,5,1,612,1,7,Late
AAM03,aam,asee_shstep07,7,1,581,3,7,Late
AAM03,aam,asee_shstep09,9,1,694,5,7,Late
AAM03,aam,asee_shstep11,11,0,648,6,7,Late
AAM03,aam,asee_shstep13,13,0,690,2,7,Late
AAM03,aam,asee_shstep15,15,0,587,0,7,Late
AAM03,aam,asee_shstep17,17,0,622,4,7,Late
AAM03,aam,asee_shstep05,5,1,649,5,8,Late
AAM03,aam,asee_shstep07,7,1,708,1,8,Late
AAM03,aam,asee_shstep09,9,1,1099,6,8,Late
AAM03,aam,asee_shstep11,11,0,745,3,8,Late
AAM03,aam,asee_shstep13,13,0,626,2,8,Late
AAM03,aam,asee_shstep15,15,0,462,4,8,Late
AAM03,aam,asee_shstep17,17,0,741,0,8,Late
AAM03,aam,asee_shstep05,5,1,629,3,9,Late
AAM03,aam,asee_shstep07,7,1,605,2,9,Late
AAM03,aam,asee_shstep09,9,1,1158,1,9,Late
AAM03,aam,asee_shstep11,11,0,669,6,9,Late
AAM03,aam,asee_shstep13,13,0,611,4,9,Late
AAM03,aam,asee_shstep15,15,0,644,0,9,Late
AAM03,aam,asee_shstep17,17,0,760,5,9,Late
AAM03,aam,asee_shstep05,5,1,669,3,10,Late
AAM03,aam,asee_shstep07,7,1,627,5,10,Late
AAM03,aam,asee_shstep09,9,1,734,1,10,Late
AAM03,aam,asee_shstep11,11,0,537,6,10,Late
AAM03,aam,asee_shstep13,13,0,406,4,10,Late
AAM03,aam,asee_shstep15,15,0,472,0,10,Late
AAM03,aam,asee_shstep17,17,0,517,2,10,Late
AAM04,aam,asee_shstep05,5,1,845,4,1,Early
AAM04,aam,asee_shstep07,7,1,1200,1,1,Early
AAM04,aam,asee_shstep09,9,1,847,6,1,Early
AAM04,aam,asee_shstep11,11,0,816,0,1,Early
AAM04,aam,asee_shstep13,13,0,1551,5,1,Early
AAM04,aam,asee_shstep15,15,0,674,3,1,Early
AAM04,aam,asee_shstep17,17,0,1093,2,1,Early
AAM04,aam,asee_shstep05,5,1,879,1,2,Early
AAM04,aam,asee_shstep07,7,1,861,6,2,Early
AAM04,aam,asee_shstep09,9,1,1252,4,2,Early
AAM04,aam,asee_shstep11,11,0,1025,3,2,Early
AAM04,aam,asee_shstep13,13,0,726,2,2,Early
AAM04,aam,asee_shstep15,15,0,745,0,2,Early
AAM04,aam,asee_shstep17,17,0,872,5,2,Early
AAM04,aam,asee_shstep05,5,1,761,5,3,Early
AAM04,aam,asee_shstep07,7,1,852,0,3,Early
AAM04,aam,asee_shstep09,9,1,909,2,3,Early
AAM04,aam,asee_shstep11,11,1,981,1,3,Early
AAM04,aam,asee_shstep13,13,0,502,3,3,Early
AAM04,aam,asee_shstep15,15,0,695,4,3,Early
AAM04,aam,asee_shstep17,17,0,561,6,3,Early
AAM04,aam,asee_shstep05,5,0,343,0,4,Early
AAM04,aam,asee_shstep07,7,1,836,6,4,Early
AAM04,aam,asee_shstep09,9,1,853,2,4,Early
AAM04,aam,asee_shstep11,11,1,895,5,4,Early
AAM04,aam,asee_shstep13,13,0,1030,4,4,Early
AAM04,aam,asee_shstep15,15,0,809,1,4,Early
AAM04,aam,asee_shstep17,17,0,845,3,4,Early
AAM04,aam,asee_shstep05,5,1,720,2,5,Early
AAM04,aam,asee_shstep07,7,1,713,4,5,Early
AAM04,aam,asee_shstep09,9,1,882,3,5,Early
AAM04,aam,asee_shstep11,11,0,964,1,5,Early
AAM04,aam,asee_shstep13,13,0,916,0,5,Early
AAM04,aam,asee_shstep15,15,0,736,5,5,Early
AAM04,aam,asee_shstep17,17,0,885,6,5,Early
AAM04,aam,asee_shstep05,5,1,746,2,6,Late
AAM04,aam,asee_shstep07,7,1,785,0,6,Late
AAM04,aam,asee_shstep09,9,1,845,4,6,Late
AAM04,aam,asee_shstep11,11,0,892,5,6,Late
AAM04,aam,asee_shstep13,13,0,936,6,6,Late
AAM04,aam,asee_shstep15,15,0,971,3,6,Late
AAM04,aam,asee_shstep17,17,0,683,1,6,Late
AAM04,aam,asee_shstep05,5,1,925,1,7,Late
