subject,id,condition,word,trial,nounAnswer,rt,grammarType,wordType,sex,hearing,lang,equip
Subject001,1010subject156,bam,embracestep9,56,0,2235,notnoun,critical,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,vibrant,57,0,1695,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,mineral,58,1,1463,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,eternal,59,0,1906,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,wrinkle,6,1,4878,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,gullible,60,0,2145,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,animal,61,1,1533,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,annoying,62,0,1525,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,parrot,63,1,1568,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,immoral,64,0,1390,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,global,65,0,3354,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,hallucinatestep8,66,0,2559,notnoun,critical,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,guilty,67,0,1539,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,remind,68,0,1875,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,totally,69,0,2048,notnoun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,parable,7,1,2279,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,malpracticestep10,70,0,1577,noun,critical,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,embarassingstep9,71,0,2268,notnoun,critical,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,pregnancystep8,72,1,5337,noun,critical,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,warrantee,73,1,1694,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,felony,74,1,1233,noun,filler,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
Subject001,1010subject156,bam,rehearsalstep8,75,1,2772,noun,critical,Male,yes,english,In-ear headphones/earbuds (cost more than $100)
